,Boom (Oil?),,,,No Boom (Clear),,,,,,
,No Light,Lamp,LED,,No Light,Lamp,LED,,,,
,,7151.91,80.4576,,4.08,5478.3,92.6976,,Headlamp t-test between Boom and Clear,,
,,7038.81,76.3776,,4.08,5912.08,72.2976,,t-Test: Two-Sample Assuming Unequal Variances,,
,,7000.63,76.3776,,4.08,5989.93,80.4576,,,,
,,7075.53,76.3776,,4.08,6331.02,64.1376,,,Variable 1,Variable 2
,,6965.05,72.2976,,4.08,6515.27,72.2976,,Mean,6801.701,6444.867
,,6763.33,72.2976,,8.16,6782.27,68.2176,,Variance,49569.45858,275264.6866
,,6940.57,76.3776,,8.16,6876.11,84.5376,,Observations,20,10
,,6708.83,58.5888,,8.16,6475.29,98.2464,,Hypothesized Mean Difference,0,
,,6771.49,72.2976,,8.16,6956.89,84.5376,,df,11,
,,6869.74,76.3776,,8.16,7131.51,92.6976,,t Stat,2.060012404,
,,6865.66,76.3776,,8.16,,68.2176,,P(T<=t) one-tail,0.031932007,
,,7086.64,76.3776,,8.16,,80.4576,,t Critical one-tail,1.795884819,
,,6729.22,109.018,,8.16,,54.5088,,P(T<=t) two-tail,0.063864015,
,,6648.44,68.2176,,8.16,,55.9776,,t Critical two-tail,2.20098516,
,,6576.47,76.3776,,8.16,,92.6976,,,,
,,6270.63,84.5376,,4.08,,80.4576,,,,
,,6791.89,76.3776,,4.08,,76.3776,,,,
,,6662.15,84.5376,,4.08,,55.9776,,LED t-test between Boom and Clear,,
,,6591.32,80.4576,,4.08,,84.5376,,t-Test: Two-Sample Assuming Unequal Variances,,
,,6525.71,80.4576,,4.08,,68.2176,,,,
,,,76.3776,,4.08,,,,,Variable 1,Variable 2
,,,84.5376,,4.08,,,,Mean,77.96065333,76.3776
,,,88.6176,,8.16,,,,Variance,63.42552351,169.4946962
,,,76.3776,,4.08,,,,Observations,30,20
,,,80.4576,,4.08,,,,Hypothesized Mean Difference,0,
,,,76.3776,,4.08,,,,df,29,
,,,76.3776,,4.08,,,,t Stat,0.486485315,
,,,76.3776,,4.08,,,,P(T<=t) one-tail,0.315139753,
,,,76.3776,,4.08,,,,t Critical one-tail,1.699127027,
,,,76.3776,,4.08,,,,P(T<=t) two-tail,0.630279507,
,,,,,,,,,t Critical two-tail,2.045229642,
STDEV,NA,222.6419964,7.964014284,,1.999740673,524.6567321,13.01901287,,,,
AVERAGE,8,6801.701,77.96065333,,5.576,6444.867,76.3776,,,,
CV,,0.032733282,0.102154278,,0.35863355,0.081406914,0.170455904,,,,
Boom (Oil?),,,,No Boom (Clear),,,,,,,
No Light,Lamp,LED,,No Light,Lamp,LED,,,,,
8,6801.701,77.96065333,,5.576,6444.867,76.3776,,,,,
,0.032733282,0.102154278,,,0.081406914,0.170455904,,,,,
,Boom,No Boom,,,Boom,,No Boom,,,,
,6801.701,6444.867,,,Dark,LED,Dark ,LED,,,
,,,,,8,77.96065333,5.576,76.3776,,,
,Boom,,No Boom,,,,,,,,
,Lamp,LED,Lamp,LED,,,,,,,
,0.033,0.102,0.081,0.17,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,8,6801.701,77.9606533,,5.576,6444.867,76.3776,,,
